,Name,Club_Position,Height,Weight
2521,Bobô,ataque,186,85
2522,Alexander Tettey,central,180,68
2534,Leandro Desábato,defensa,187,87
2536,Daniel Díaz,defensa,183,77
2538,Paulo Da Silva,defensa,180,76
2539,Lucian Sânmărtean,central,176,70
2540,Jérémy Morel,defensa,172,71
2541,Carl Medjani,defensa,184,77
2542,Domenico Maietta,defensa,184,75
2544,Daniele Croce,central,175,68
2546,Massimo Gobbi,defensa,182,76
2547,Simon Francis,defensa,191,90
2549,Scott Brown,central,175,74
2551,Jermaine Jones,central,184,78
2552,Renaud Cohade,ataque,180,74
2553,Franck Béria,defensa,177,76
2555,Cani,ataque,180,75
2559,Simone Padoin,central,179,73
2568,Antonio Floro Flores,ataque,183,78
2569,Andreas Johansson,defensa,184,72
2570,Ricardo Costa,defensa,183,80
2572,Timmy Simons,central,186,80
2573,John O'Shea,defensa,190,84
2574,Tarantini,central,188,78
2575,Lukáš Pokorný,defensa,190,86
2577,Lindsay Rose,defensa,184,80
2578,Aarón Martín,defensa,180,72
2579,Darko Brasanac,central,178,72
2580,Pedrinho,central,170,68
2582,Yu Kobayashi,ataque,177,72
2583,Fernando Zampedri,ataque,185,83
2584,Tsukasa Shiotani,defensa,182,78
2586,Çağlar Söyüncü,defensa,187,84
2587,Dany Cure,central,182,78
2589,Yusuf Yazıcı,ataque,184,78
2592,Filip Krovinović,central,175,70
2593,Mouctar Diakhaby,defensa,189,78
2594,Mijat Gaćinović,central,175,66
2595,Benjamin Meseira,defensa,180,75
2596,Gus Outomouro,ataque,175,73
2597,Dênildo Stein,ataque,180,71
2600,Elias Fontoira,central,186,74
2601,Pietrson Mendes,ataque,173,64
2602,Brenito Duarte,defensa,185,80
2603,Michildo Melo,defensa,186,75
2604,Heitinho Zanon,defensa,187,79
2605,Oswaldito Cuba,defensa,170,68
2609,Evandro Rochedo,ataque,187,82
2610,Gustavo Lobateiro,ataque,180,76
2611,Jorge Carvallinho,defensa,189,80
2612,Ailton Valpaços,defensa,186,79
2613,Fabiano Sonta,defensa,181,82
2616,Juli Piresinho,defensa,180,82
2619,Pierre Lees-Melou,central,185,67
2620,Milot Rashica,ataque,178,73
2621,Tendai Ndoro,ataque,183,77
2623,Edmilson Junior,central,181,71
2624,Alfonso Pedraza,central,182,75
2627,Eber Bessa,central,167,74
2628,Frédéric Guilbert,central,178,70
2629,Cyle Larin,ataque,188,86
2630,Fabián Sambueza,ataque,170,65
2632,Jorge Moreira,defensa,174,77
2634,Andrés Ibargüen,ataque,168,64
2638,Motaz Hawsawi,defensa,179,77
2642,James Sánchez,central,177,67
2644,Valentin Rongier,central,172,70
2645,Timo Baumgartl,defensa,190,81
2646,Kuca,ataque,181,63
2648,Juan Martín Lucero,ataque,181,72
2651,Enes Ünal,ataque,185,78
2653,Diego Churín,ataque,186,80
2654,Masato Morishige,defensa,183,76
2658,Manuel Locatelli,central,186,75
2659,Hélder Costa,ataque,178,73
2660,Enzo Crivelli,ataque,184,82
2664,Steve Birnbaum,defensa,185,81
2666,Andrés Felipe Roa,ataque,175,69
2667,Germán Conti,defensa,193,80
2669,Anderson Esiti,central,189,85
2675,Mahmoud Abdel Moneim,central,182,76
2679,Mbwana Ally Samatta,ataque,182,78
2680,Junya Tanaka,ataque,181,77
2681,Miha Mevlja,defensa,190,85
2682,Anderson Plata,ataque,173,65
2684,Allan Saint-Maximin,central,173,67
2685,Marcel Tisserand,defensa,188,75
2686,Idris,central,189,80
2687,Antonio Di Gaudio,central,169,63
2688,Gaetano Letizia,defensa,173,63
2689,Federico Carrizo,ataque,170,68
2691,Damián Musto,central,182,82
2693,Andrea Petagna,ataque,188,85
2695,Jason,central,178,65
2696,Roni,central,171,67
2698,Fernando Manríquez,ataque,168,72
2699,Enzo Kalinski,central,183,77
2701,Brahian Alemán,ataque,178,79
2703,Juan Caicedo,ataque,187,79
2704,Victor Ayala,central,177,70
2705,Jefferson Duque,ataque,183,79
2706,Farid Díaz,defensa,170,72
2707,Freddy Hinestroza,central,179,72
2709,Jefferson Cuero,central,173,66
2710,Angelo Rodríguez,ataque,182,79
2713,Guillermo Celis,central,177,74
2714,Esteban Pavez,central,180,76
2717,Alexey Miranchuk,central,182,74
2719,Carlos Lizarazo,ataque,171,67
2720,Adama,central,178,76
2724,Felipe Mora,ataque,175,72
2725,Saulo Decarli,defensa,188,82
2727,Cifuentes,central,173,65
2728,Jimmy Cabot,ataque,164,60
2729,Josué,defensa,187,81
2731,Walker Zimmerman,defensa,191,84
2737,Alexandru Chipciu,central,177,74
2738,Koo Ja Ryong,defensa,183,75
2740,Moussa Dembélé,ataque,183,74
2741,Riza Durmisi,central,168,68
2742,Mpho Makola,central,173,71
2743,Frederico Venâncio,defensa,186,81
2747,Vincent Laurini,defensa,173,72
2749,Louis Schaub,ataque,177,70
2750,Ilya Kutepov,defensa,192,85
2752,Renato Santos,ataque,177,75
2753,André Ramalho,defensa,182,78
2754,Chisamba Lungu,central,178,68
2757,Jordan Adéoti,defensa,183,81
2758,Stefan Mitrović,defensa,188,84
2761,Maxime Poundjé,defensa,179,74
2764,Mohammed Al Sahlawi,ataque,180,72
2765,Sam Byram,defensa,180,72
2768,Raheem Lawal,central,181,93
2769,Thomas Foket,defensa,178,77
2770,Andreas Pereira,central,178,72
2771,Clinton Mata,central,180,72
2774,Ivan Santini,ataque,190,90
2777,Dom Dwyer,ataque,175,82
2778,Cristiano,central,183,83
2779,Simon Tibbling,central,173,76
2782,Simon Falette,defensa,184,89
2783,Héctor Canteros,central,176,80
2784,Luciano Aued,central,182,81
2785,Kalifa Coulibaly,ataque,197,84
2787,Luciano Abecasis,defensa,175,81
2790,Matteo Bianchetti,defensa,189,80
2791,Alex Pritchard,ataque,171,62
2792,Ewerton,defensa,190,83
2796,Paweł Olkowski,defensa,184,76
2797,Ghayas Zahid,ataque,173,65
2799,Raúl Ruidíaz,ataque,169,66
2803,Jakub Brabec,defensa,186,79
2804,Marvin Bakalorz,central,180,78
2805,Koffi Djidji,defensa,184,71
2806,Gabriel Hauche,ataque,167,73
2814,Chris Löwe,defensa,173,63
2815,Adnane Tighadouini,ataque,178,72
2816,Harry Maguire,defensa,188,79
2818,Leonardo Spinazzola,central,186,75
2819,Gianluca Caprari,central,172,71
2823,Diego Arias,central,170,65
2825,Aziz Behich,defensa,170,66
2826,Nacho Cases,central,175,66
2828,Felix Klaus,central,180,79
2830,Remo Freuler,central,181,77
2834,Federico Santander,ataque,187,85
2835,Fegor Ogude,central,181,86
2836,Camillo Ciano,ataque,176,73
2838,Dominik Kaiser,ataque,171,67
2839,Oliver Sorg,defensa,175,75
2840,Jerry Mbakogu,ataque,184,82
2841,Emmanuel Gigliotti,ataque,187,82
2844,James Forrest,ataque,175,67
2846,Guilherme,central,170,70
2848,Ben Rienstra,central,182,79
2849,Ben Gibson,defensa,185,78
2855,Anders Christiansen,central,174,75
2856,Bartosz Bereszyński,defensa,182,78
2857,Sylvester Igboun,ataque,173,73
2858,Almog Cohen,central,170,71
2861,Claiton,defensa,186,78
2862,Joselu,ataque,177,73
2863,Santos,ataque,165,64
2864,Ilja Nestorovski,ataque,182,76
2865,João Pedro,ataque,184,73
2866,Yun Young Sun,defensa,185,78
2868,Georgios Tzavellas,defensa,183,86
2870,Kévin Malcuit,defensa,180,76
2876,Sebastián Dubarbier,defensa,178,77
2877,Guerrero,ataque,180,79
2879,François Moubandje,defensa,180,74
2881,Lorenzo Crisetig,central,183,80
2882,Idriss Saadi,ataque,179,75
2883,Karim Ansarifard,ataque,175,65
2886,Borja García,central,176,72
2889,Christoph Moritz,central,186,80
2890,Lasse Sobiech,defensa,196,88
2893,Jack Colback,central,176,70
2894,Conor Hourihane,central,181,62
2895,Dario Dumić,defensa,193,85
2896,Tom Lees,defensa,183,73
2897,Beram Kayal,central,178,74
2899,Jonathan Estrada,ataque,182,74
2902,Adama Traoré,defensa,170,73
2904,Vincent Le Goff,defensa,176,74
2905,Yeni Ngbakoto,central,174,72
2907,Juanpe,defensa,190,85
2909,Mato Jajalo,central,180,80
2910,Milton Caraglio,ataque,187,86
2912,Johnathan,ataque,184,74
2914,Paulinho,ataque,174,75
2916,Niklas Hult,defensa,173,66
2917,Néstor Araujo,defensa,188,87
2919,Kim Shin Wook,ataque,197,97
2922,Osama Hawsawi,defensa,185,75
2923,Ivan Obradović,defensa,181,79
2926,Felix Kroos,central,184,78
2927,Kian Hansen,defensa,184,74
2928,Matt Besler,defensa,183,77
2929,Ortuño,ataque,182,84
2930,Mike Frantz,central,182,80
2931,Daniel Villalva,central,158,61
2933,Osvaldo Martínez,central,165,71
2934,Edgar Benítez,central,176,70
2938,Vincent Manceau,defensa,174,65
2939,Gianluca Sansone,ataque,174,68
2940,Ezequiel Luna,defensa,180,74
2941,Quique,ataque,175,67
2944,Alcalá,defensa,196,93
2947,Harrison Afful,central,168,58
2948,Jaime Romero,central,176,77
2949,Mads Albæk,central,182,76
2951,Maximiliano Caire,defensa,177,70
2952,Garath McCleary,ataque,183,76
2953,Luca Siligardi,ataque,180,72
2954,Alex Bergantiños,central,177,73
2956,Mehdi Mostefa,central,181,82
2957,Igor Lewczuk,defensa,187,85
2958,Stijn Wuytens,central,183,77
2959,Wallace Reis,defensa,184,76
2960,Ricardo Noir,ataque,173,65
2962,Sergey Politsevich,defensa,186,80
2965,Jair Pereira,defensa,183,81
2966,Jorge Hernández,central,170,77
2967,Vladimir Granat,defensa,184,80
2968,Luis Fuentes,defensa,172,64
2969,Anders Konradsen,central,183,76
2970,Moussa Maâzou,ataque,186,79
2974,Vítor Gomes,central,183,81
2975,Ezequiel Muñoz,defensa,185,82
2978,Hamdi Harbaoui,ataque,185,81
2981,Kyle Bartley,defensa,194,94
2983,Henri Lansbury,central,185,85
2985,Joshua King,ataque,180,74
2987,Thomas Rogne,defensa,191,86
2988,Deniz Kadah,ataque,186,80
2995,Jordan Rhodes,ataque,185,71
3000,Orlando Sá,ataque,188,85
3003,Vurnon Anita,defensa,168,65
3005,Georg Margreitter,defensa,186,85
3006,Natxo Insa,central,177,70
3007,Barry Bannan,central,169,61
3008,Fran Mérida,central,177,74
3009,Nacer Barazite,ataque,186,79
3010,Eros Pisano,defensa,185,83
3011,Pål André Helland,ataque,186,84
3012,Marcello Gazzola,defensa,183,78
3014,Diego Vera,ataque,181,74
3015,Mahmut Tekdemir,central,178,68
3016,Rúben Ribeiro,ataque,175,67
3018,Konstantin Vassiljev,ataque,175,76
3019,Maurício Ramos,defensa,186,81
3020,Alexander Gerndt,central,184,80
3021,Pierre Bengtsson,defensa,175,77
3022,Anderson Luís,defensa,175,69
3027,Varela,defensa,183,82
3029,Daniel Ciofani,ataque,190,82
3034,Özer Hurmacı,central,174,70
3036,Kévin Monnet-Paquet,central,184,81
3038,Haris Medunjanin,central,188,76
3039,Lasse Nielsen,defensa,186,78
3040,Tore Reginiussen,defensa,185,80
3041,Mikael Lustig,defensa,189,78
3042,Welliton,ataque,177,79
3046,Dax McCarty,central,175,68
3048,Mateus,ataque,176,75
3049,Kevin McDonald,central,188,82
3050,Krzysztof Mączyński,central,175,69
3051,Sone Aluko,ataque,173,75
3054,Federico Dionisi,ataque,179,68
3056,Alex López,central,173,64
3058,Onur Kaya,central,167,69
3059,Ignacio Scocco,ataque,175,71
3062,David Rodríguez,ataque,178,75
3063,Cole Skuse,central,185,72
3064,Ukra,central,176,74
3066,Mehdi Lacen,central,176,70
3068,Markus Suttner,central,179,73
3069,Jonathan Fabbro,ataque,188,84
3072,Elkin Soto,central,179,75
3073,Yannick Cahuzac,central,178,70
3075,Nicklas Bendtner,ataque,194,89
3079,Olivier Veigneau,defensa,174,69
3080,Cameron Jerome,ataque,185,85
3082,Michu,ataque,191,78
3083,Tim Sparv,central,194,84
3085,Tim Hoogland,defensa,183,80
3086,Juninho,defensa,181,80
3088,Behrang Safari,defensa,182,77
3090,Sébastien Pocognoli,defensa,181,73
3092,Roland Lamah,central,175,71
3093,Pablo Barrientos,ataque,176,69
3095,Artur,central,175,69
3097,Zapater,central,180,82
3099,Lanzarote,central,178,69
3100,Raffaele Palladino,ataque,182,73
3101,Léo Matos,defensa,182,77
3102,Luis Gonzalo Bustamante,ataque,170,67
3103,Ken Reichel,defensa,185,83
3104,Mark González,central,176,74
3107,Benoît Assou-Ekotto,defensa,178,70
3108,Christophe Berra,defensa,191,92
3115,Manuel Pasqual,defensa,178,71
3116,Jorge Molina,ataque,188,77
3118,Arnold Mvuemba,central,172,67
3119,Chad Marshall,defensa,193,82
3126,Vitolo,central,170,68
3128,Juli,central,170,67
3130,Javier Gandolfi,defensa,178,78
3132,Maximiliano Velázquez,defensa,176,72
3134,Aitor Sanz,ataque,181,71
3138,Darío Verón,defensa,180,84
3139,Yoshito Okubo,ataque,170,73
3140,Yasuhito Endo,central,178,75
3141,Santiago Silva,ataque,183,84
3143,Walter Erviti,central,168,64
3145,Mounir El Hamdaoui,ataque,183,84
3146,Yann Jouffre,central,175,65
3147,Alessandro Rosina,ataque,170,69
3148,Michaël Ciani,defensa,192,88
3154,Reto Ziegler,defensa,183,79
3157,Claudio Terzi,defensa,180,69
3160,Rolando Bianchi,ataque,188,81
3161,Florent Balmont,central,168,72
3163,Stefano Mauri,ataque,184,79
3165,Markus Rosenberg,ataque,184,81
3166,Alexander Farnerud,central,182,73
3168,Kyle Beckerman,central,177,70
3170,Shunsuke Nakamura,ataque,178,70
3171,Rafael Márquez,defensa,184,75
3174,Custódio,central,180,75
3175,Braga,central,181,77
3177,Benjamin Nivet,ataque,178,75
3178,Giampiero Pinzi,central,180,76
3185,Federico Chiesa,central,175,70
3187,Assis,central,170,65
3188,Henry Onyekuru,central,175,59
3190,Amath Ndiaye Diedhiou,ataque,173,63
3191,Junya Ito,central,176,68
3196,Ruslan Malinovskyi,central,181,79
3197,Tammy Abraham,ataque,190,82
3200,Gojko Cimirot,central,178,74
3202,Nilsito Vilela,ataque,180,71
3203,Leandro Vivenço,ataque,174,69
3204,Adrián Burnabão,ataque,176,73
3205,Jessé Ledeiro,ataque,174,73
3206,Jairinhazo,ataque,169,62
3207,Leordinho Paes,central,180,69
3208,Alessinito,central,182,78
3209,Porphirinho,central,178,71
3210,Marcos Paneira,central,182,73
3211,Pimentiscinho,central,178,75
3212,Timo Triano,central,176,76
3213,Rubem Esteiro,central,182,81
3214,Otávinho Vila,central,176,75
3215,Miltisco Paulino,defensa,180,77
3216,Denaldo Carneiro,defensa,186,80
3218,Pombaxinho,defensa,191,90
3219,Sanaldo Caiado,defensa,192,88
3220,Silvosinho,defensa,177,73
3222,Jeff Meirson,defensa,179,77
3223,Joshuando Sá,defensa,182,81
3224,Jonas Damasto,defensa,177,69
3225,Walter Silvieiro,ataque,179,70
3226,Cristian Lodeira,ataque,172,66
3227,Thiago Alminxa,ataque,182,71
3228,Santi da Bruma,ataque,172,67
3229,Michel Cruceiro,central,185,82
3230,Mauro Riboas,ataque,176,75
3231,Carleto Costinha,ataque,175,69
3232,Juliano Mascarinhas,central,183,80
3233,Clayton Fildeiras,ataque,172,69
3234,Estevão Candeira,defensa,187,75
3235,Vanderlei Cõembra,defensa,181,80
3236,Wellington Sabrão,defensa,185,81
3237,Youssef Ait Bennasser,central,184,72
3239,Alexander Barboza,defensa,193,70
3242,Mbilla Etame,central,180,77
3243,Maksym Malyshev,central,181,76
3244,Costinha,central,170,64
3245,Gil Dias,ataque,183,78
3246,Amilton,ataque,172,68
3248,Borja Valle,central,177,72
3249,Óscar Estupiñán,ataque,182,76
3250,Jhon Murillo,ataque,171,66
3254,Diego Viera,defensa,185,91
3257,Diego González,defensa,184,86
3261,Marcus Coco,ataque,180,75
3263,Uche Agbo,central,186,73
3264,Jordan Morris,ataque,180,84
3266,Alexandr Golovin,ataque,180,69
3267,Guido Rodríguez,central,185,80
3268,Ahmet Oğuz,defensa,176,83
3269,Ellyes Skhiri,central,185,69
3271,Kevin Lasagna,ataque,186,80
3274,Yann Bodiger,central,188,80
3277,Fábio Martins,ataque,178,70
3279,Germán Lanaro,defensa,186,84
3280,Derrick Luckassen,defensa,185,75
3281,Ivaylo Chochev,central,187,81
3283,Jonathan Rodríguez,ataque,179,77
3284,Robert Bauer,defensa,183,76
3286,Wout Weghorst,ataque,197,84
3288,Edoardo Goldaniga,defensa,188,82
3290,Numan Çürüksu,defensa,190,81
3293,Marvelous Nakamba,central,177,71
3294,Manabu Saito,central,169,68
3296,Timothy Castagne,defensa,180,69
3299,Elmir Nabiullin,defensa,174,70
3301,Carlos Gruezo,central,171,67
3305,Estéfano Arango,central,170,63
3306,Alexis Pérez,defensa,183,80
3308,Dario Rodríguez,ataque,174,68
3310,Gastón Silva,defensa,183,75
3313,Daniel Hernández,ataque,176,65
3319,David Costas,defensa,181,72
3322,Andrés Mosquera,defensa,182,74
3324,Diego Galo,defensa,185,80
3329,Rafa Soares,defensa,182,74
3330,Alejandro Silva,ataque,178,67
3331,Facundo Sánchez,defensa,176,74
3332,César Fuentes,central,170,74
3333,Yuya Kubo,central,178,72
3335,Bruno Henrique,central,180,75
3336,Emanuele Suagher,defensa,192,82
3338,Léo Dubois,defensa,178,65
3339,Daley Sinkgraven,defensa,179,64
3341,Joost van Aken,defensa,194,75
3343,Lorenzo Pasciuti,central,172,68
3346,Rafael Delgado,central,175,76
3348,Matteo Mancosu,ataque,180,75
3350,Matt Miazga,defensa,191,84
3354,Lucas Albertengo,ataque,185,71
3355,Lucas Melano,central,186,81
3359,Martín Rolle,ataque,167,68
3361,Bruno Bianchi,defensa,184,79
3364,Claudio Riaño,ataque,177,75
3365,Óscar Opazo,defensa,169,72
3366,Martín Rodríguez,ataque,170,68
3368,Marlon Piedrahita,defensa,175,72
3371,Leonardo Valencia,ataque,169,73
3372,Felipe Aguilar,defensa,190,82
3374,Didier Moreno,central,178,71
3375,Ayron del Valle,ataque,175,67
3376,Yeison Gordillo,central,176,73
3384,Albizua,defensa,181,79
3385,Kim Jin Su,central,176,70
3388,Ludwig Augustinsson,defensa,181,76
3390,Maxime Chanot,defensa,186,84
3391,Tiago Silva,ataque,175,68
3393,Kenan Karaman,central,189,83
3394,Brandon Mechele,defensa,188,81
3396,Mohamed Abdul Shafy,defensa,170,71
3397,Kevin Möhwald,central,183,77
3398,Pere Pons,central,177,70
3399,Carlos Hernández,defensa,185,81
3400,Tom Lawrence,ataque,175,75
3401,Ibrahim Amadou,central,184,81
3405,José Mari,central,183,70
3406,David Accam,central,174,79
3407,Nicolás Martínez,central,169,66
3408,Haitam Aleesami,defensa,181,73
3409,Fouad Chafik,defensa,183,72
3410,Albert Rusnák,ataque,180,65
3412,Filippo Falco,ataque,171,70
3413,Cristian Pellerano,central,182,74
3415,Hany Mukhtar,ataque,172,69
3416,Joris van Overeem,ataque,181,71
3418,Christian Günter,defensa,185,80
3419,Siebe Schrijvers,ataque,177,65
3420,Joey Pelupessy,central,172,63
3421,Milan Vilotić,defensa,190,85
3422,Branimir Hrgota,ataque,185,76
3423,Nabil Ghilas,ataque,183,85
3424,Ádám Gyurcsó,central,180,60
3426,Jehad Al Hussien,central,168,63
3427,Fahad Al Muwallad,central,167,59
3429,Óscar Plano,central,180,72
3430,Peter Ankersen,defensa,180,73
3431,Andrew Wooten,ataque,186,85
3432,Ibrahima Cissé,central,182,82
3434,Patrick,defensa,173,76
3435,Ju Se Jong,central,176,68
3438,Alexander González,central,177,75
3439,Ryan Fraser,central,163,62
3441,Giannis Skondras,central,179,79
3442,Emil Krafth,defensa,181,79
3443,Kenneth Omeruo,defensa,185,83
3445,Marcus Rohdén,central,182,76
3447,Alexis Henríquez,defensa,191,90
3448,Stef Peeters,ataque,188,75
3451,Nir Bitton,central,194,82
3453,André Biyogo Poko,central,173,72
3454,Eric Mathoho,defensa,190,76
3455,Edgar Salli,central,171,71
3459,Luca Ceppitelli,defensa,186,83
3462,Djaniny,central,188,85
3463,Gonzalo Espinoza,central,178,77
3465,Filip Novák,defensa,182,79
3467,Rachid Alioui,ataque,186,81
3469,Clerc,defensa,182,69
3471,Renato Ibarra,central,171,70
3473,Luis Advíncula,defensa,178,80
3474,Stefano Marzo,defensa,181,72
3475,Gervasio Núñez,ataque,180,78
3479,Tommy Smith,defensa,186,84
3480,Leonardo Blanchard,defensa,187,80
3483,Jamaal Lascelles,defensa,189,83
3485,Britt Assombalonga,ataque,178,78
3486,Luccas Claro,defensa,182,89
3488,Yun Il Lok,central,178,65
3492,Tom Carroll,central,178,66
3494,Martos,defensa,181,73
3496,Aden Flint,defensa,197,83
3497,Stuart Armstrong,central,183,75
3498,Justin Meram,central,185,75
3501,Alfredo Morales,central,183,77
3502,José Luis Fernández,central,169,67
3503,Luis Carlos Arias,defensa,167,70
3507,Simon Thern,central,180,76
3514,Cristiano Biraghi,defensa,183,78
3517,Robert Žulj,ataque,189,81
3520,Kasper Kusk,central,180,67
3521,Ledian Memushaj,central,174,70
3522,Errasti,central,180,81
3524,Taras Burlak,defensa,187,78
3525,Rafael Martins,ataque,177,73
3527,Deniz Yılmaz,ataque,182,79
3529,Bruno Uvini,defensa,186,83
3531,Christopher Schindler,defensa,189,82
3534,Mike te Wierik,defensa,191,73
3535,Adama Soumaoro,defensa,187,93
3538,Miloš Kosanović,defensa,190,83
3539,Ahmet İlhan Özek,central,181,74
3542,Romain Métanire,defensa,178,74
3544,Taulant Xhaka,central,172,72
3547,Pablo Chavarría,ataque,185,74
3548,Mathieu Duhamel,ataque,183,77
3551,Anthony Losilla,central,185,80
3552,Amir Abrashi,central,172,71
3557,Sergey Tkachev,central,184,80
3560,Raoul Cedric Loé,central,192,83
3561,Carlos Ruiz,defensa,183,80
3562,Johan Larsson,defensa,181,72
3564,Bryan Oviedo,defensa,172,65
3565,Greg Cunningham,defensa,183,70
3567,Damian Dąbrowski,central,178,73
3568,Alex,ataque,175,68
3569,Yann-Erik de Lanlay,ataque,180,72
3577,Rizvan Utsiev,defensa,173,68
3585,Flavio Paixão,central,184,75
3586,Adam Forshaw,central,185,71
3587,Portillo,ataque,169,63
3589,Juan Domínguez,central,181,71
3590,Cauê,central,186,79
3592,Vasco Regini,defensa,185,77
3594,Diego Novaretti,central,194,86
3595,Douglas,defensa,171,67
3599,Ben Marshall,ataque,183,73
3600,Iván Pillud,defensa,179,79
3601,Bram Nuytinck,defensa,190,80
3603,Mateusz Klich,central,183,75
3604,Mustapha Diallo,central,190,75
3605,Fabián Rinaudo,central,175,78
3606,Mauro Formica,ataque,178,70
3607,Mads Fenger,defensa,185,81
3610,Salman Al Faraj,central,175,69
3613,Adam Smith,defensa,180,81
3616,Diego Álvarez,ataque,173,70
3618,Ike Opara,defensa,188,82
3619,Yassine El Ghanassy,central,175,70
3622,Bernard Parker,ataque,170,65
3625,Guedes,ataque,182,76
3629,Marcelo Toscano,ataque,184,83
3630,Samuel Armenteros,ataque,181,80
3631,Ramalho,defensa,181,68
3635,Aridane,defensa,186,77
3636,Candeias,central,177,78
3640,Cristian Pasquato,ataque,172,70
3641,Lorenzo Ariaudo,defensa,186,76
3642,Florian Jungwirth,defensa,181,77
3644,Samuel Souprayen,defensa,187,75
3646,Francesco Renzetti,central,174,65
3656,Ondřej Čelůstka,defensa,186,80
3657,Edwin Hernández,defensa,166,72
3660,Jiloan Hamad,ataque,173,72
3663,Ashley Barnes,ataque,186,76
3664,Tsepo Masilela,defensa,175,70
3665,Güray Vural,central,177,65
3668,Juan Cala,defensa,187,76
3670,Tommy Smith,defensa,187,82
3673,Vasco Fernandes,defensa,182,76
3679,Julien Cétout,defensa,183,74
3681,Sergio Tejera,central,180,75
3682,Lasse Vibe,ataque,181,73
3683,Vincent Nogueira,central,170,61
3684,Mohammed Abdellaoue,ataque,182,80
3685,Jean-Armel Kana-Biyik,defensa,184,86
3686,Ima Faneva Andriatsima,ataque,183,74
3687,Avdija Vršajevič,defensa,179,76
3691,Steeven Langil,central,179,69
3693,Casado,defensa,173,72
3697,Fedor Kudryashov,central,181,77
3699,Aly Cissokho,defensa,181,75
3700,Rasmus Bengtsson,defensa,186,80
3701,Damien Marcq,central,181,78
3703,Ceyhun Gülselam,central,192,88
3704,Lulinha,central,170,68
3708,Miguel Samudio,central,175,76
3710,George Boyd,central,186,79
3712,Alex Pearce,defensa,188,85
3713,Gilles Cioni,defensa,165,65
3714,Wout Brama,central,176,71
3716,Nenê,ataque,183,78
3717,Seth De Witte,defensa,193,87
3718,Romain Brégerie,defensa,190,88
3720,Mario Vrančić,ataque,187,78
3721,Ángel,ataque,172,68
3723,Timothy Derijck,defensa,185,83
3725,Suso Santana,central,172,62
3726,Gustav Svensson,defensa,184,83
3727,Ruben Yttergård Jenssen,central,173,74
3728,Nuno Coelho,central,183,76
3729,Patrick Ebert,ataque,175,75
3733,Máyer Candelo,ataque,170,65
3734,McDonald Mariga,central,183,84
3735,Sebastian Boenisch,defensa,191,90
3736,Marcin Robak,ataque,182,78
3740,Sébastien Siani,central,175,76
3742,Pablo Barrera,central,178,72
3743,Ramón Fernández,ataque,170,66
3745,Lee Tomlin,ataque,180,74
3746,Ramon Leeuwin,defensa,187,76
3747,Matteo Ardemagni,ataque,185,82
3748,Joey van den Berg,central,182,77
3749,Matías Fritzler,central,179,73
3752,Luso,central,183,75
3753,Carpio,defensa,178,67
3757,Hugo Vieira,ataque,178,73
3758,Sam Hutchinson,central,182,73
3759,Andreas Ulmer,defensa,175,69
3760,Aldo Leão Ramírez,central,175,76
3761,Carmona,central,177,72
3762,Issiar Dia,ataque,167,62
3764,Nsue,central,178,75
3765,Adem Büyük,central,167,61
3766,Jorge Torres Nilo,defensa,180,78
3771,Molinero,defensa,175,64
3772,Cristian Villagra,defensa,177,73
3773,Stephen Ward,defensa,184,82
3774,Édouard Duplan,ataque,180,74
3775,Edinho,ataque,182,75
3777,Lee Wallace,defensa,185,75
3778,Chris Wondolowski,ataque,183,75
3780,Jonny Hayes,central,173,70
3782,Franck Berrier,ataque,175,65
3790,Marco Schneuwly,ataque,183,82
3794,Uwe Hünemeier,defensa,189,84
3796,Moritz Stoppelkamp,central,180,75
3797,Pedro López,defensa,174,72
3800,Valerică Găman,defensa,188,73
3801,Alejandro Faurlín,central,185,76
3802,Lucas Licht,defensa,174,72
3803,Magnus Wolff Eikrem,central,184,69
3804,Darío Cvitanich,ataque,174,72
3806,Bradley Johnson,central,178,68
3808,Espen Ruud,defensa,184,76
3810,Manu Del Moral,ataque,185,77
3812,Susaeta,central,178,74
3813,Seoane,central,179,75
3814,Dorca,central,182,77
3815,Bruno Saltor,defensa,178,75
3816,Leandro Greco,central,184,75
3820,Mariano Pavone,ataque,181,81
3821,Diego Colotto,defensa,184,83
3822,Jonathan Bottinelli,defensa,180,79
3823,Javi Guerra,ataque,178,76
3825,David Nugent,ataque,180,81
3830,Brett Holman,ataque,177,75
3838,Paul McShane,defensa,183,81
3839,Merter Yüce,central,192,84
3841,Hugo Campagnaro,defensa,181,85
3842,Christian Schulz,defensa,185,80
3846,David Navarro,defensa,188,82
3848,Pelegrín,defensa,185,77
3849,Hamit Altıntop,central,183,82
3850,Fahid Ben Khalfallah,ataque,170,72
3853,Peter Niemeyer,defensa,191,83
3854,Alou Diarra,central,190,79
3855,Alaeddine Yahia,defensa,187,81
3857,Cristian Ledesma,central,180,78
3858,Tim Cahill,ataque,178,75
3862,Tobias Hysén,ataque,178,83
3863,Nils-Eric Johansson,defensa,187,88
3864,Benoît Pedretti,central,178,72
3865,Lionel Mathis,central,174,72
3876,Túlio Sandoiro,ataque,186,82
3877,Marlion Rolim,ataque,175,70
3878,Martin Cordeia,ataque,181,76
3880,Enzo Merques,defensa,187,76
3883,Álvaro Jiménez,central,176,62
3884,Lazar Rosić,defensa,190,83
3886,David Terans,central,176,73
3887,Ramón Folch,central,182,78
3888,Perdigão,ataque,180,70
