Pais,Code,Expectativa de vida,PIB Total,Indice libertad economica,Población,Indice desarrollo humano
Argentina,ARG,76.068,19502.0,53.1,44780677.0,0.825
Brazil,BRA,74.994,15826.0,53.7,211049527.0,0.759
Chile,CHL,79.646,21589.0,76.8,18952038.0,0.843
Colombia,COL,76.531,13218.0,69.2,50339443.0,0.747
Ecuador,ECU,76.143,10905.0,51.3,17373662.0,0.752
Paraguay,PRY,73.66199999999998,8539.0,63.0,7044636.0,0.702
Peru,PER,75.792,11445.0,67.9,32510453.0,0.75
Uruguay,URY,77.369,19244.0,69.1,3461734.0,0.804
